countryregion,date,days,confirmed,confirmed_change,deaths,deaths_change,recovered,recovered_change
Afghanistan,24feb2020,1,1,,,,,
Afghanistan,25feb2020,2,1,0,,,,
Afghanistan,26feb2020,3,1,0,,,,
Afghanistan,27feb2020,4,1,0,,,,
Afghanistan,28feb2020,5,1,0,,,,
Afghanistan,29feb2020,6,1,0,,,,
Afghanistan,01mar2020,7,1,0,,,,
Afghanistan,02mar2020,8,1,0,,,,
Afghanistan,03mar2020,9,1,0,,,,
Afghanistan,04mar2020,10,1,0,,,,
Afghanistan,05mar2020,11,1,0,,,,
Afghanistan,06mar2020,12,1,0,,,,
Afghanistan,07mar2020,13,1,0,,,,
Afghanistan,08mar2020,14,4,3,,,,
Afghanistan,09mar2020,15,4,0,,,,
Afghanistan,10mar2020,16,5,1,,,,
Afghanistan,11mar2020,17,7,2,,,,
Afghanistan,12mar2020,18,7,0,,,,
Afghanistan,13mar2020,19,7,0,,,,
Afghanistan,14mar2020,20,11,4,,,,
Afghanistan,15mar2020,21,16,5,,,,
Afghanistan,16mar2020,22,21,5,,,1,
Afghanistan,17mar2020,23,22,1,,,1,0
Afghanistan,18mar2020,24,22,0,,,1,0
Afghanistan,19mar2020,25,22,0,,,1,0
Afghanistan,20mar2020,26,24,2,,,1,0
Afghanistan,21mar2020,27,24,0,,,1,0
Afghanistan,22mar2020,28,40,16,1,,1,0
Afghanistan,23mar2020,29,40,0,1,0,1,0
Afghanistan,24mar2020,30,74,34,1,0,1,0
Afghanistan,25mar2020,31,84,10,2,1,2,1
Afghanistan,26mar2020,32,94,10,4,2,2,0
Afghanistan,27mar2020,33,110,16,4,0,2,0
Afghanistan,28mar2020,34,110,0,4,0,2,0
Afghanistan,29mar2020,35,120,10,4,0,2,0
Afghanistan,30mar2020,36,170,50,4,0,2,0
Afghanistan,31mar2020,37,174,4,4,0,5,3
Afghanistan,01apr2020,38,237,63,4,0,5,0
Afghanistan,02apr2020,39,273,36,6,2,10,5
Afghanistan,03apr2020,40,281,8,6,0,10,0
Afghanistan,04apr2020,41,299,18,7,1,10,0
Afghanistan,05apr2020,42,349,50,7,0,15,5
Afghanistan,06apr2020,43,367,18,11,4,18,3
Afghanistan,07apr2020,44,423,56,14,3,18,0
Afghanistan,08apr2020,45,444,21,14,0,29,11
Afghanistan,09apr2020,46,484,40,15,1,32,3
Afghanistan,10apr2020,47,521,37,15,0,32,0
Afghanistan,11apr2020,48,555,34,18,3,32,0
Afghanistan,12apr2020,49,607,52,18,0,32,0
Afghanistan,13apr2020,50,665,58,21,3,32,0
Albania,09mar2020,1,2,,,,,
Albania,10mar2020,2,10,8,,,,
Albania,11mar2020,3,12,2,1,,,
Albania,12mar2020,4,23,11,1,0,,
Albania,13mar2020,5,33,10,1,0,,
Albania,14mar2020,6,38,5,1,0,,
Albania,15mar2020,7,42,4,1,0,,
Albania,16mar2020,8,51,9,1,0,,
Albania,17mar2020,9,55,4,1,0,,
Albania,18mar2020,10,59,4,2,1,,
Albania,19mar2020,11,64,5,2,0,,
Albania,20mar2020,12,70,6,2,0,,
Albania,21mar2020,13,76,6,2,0,2,
Albania,22mar2020,14,89,13,2,0,2,0
Albania,23mar2020,15,104,15,4,2,2,0
Albania,24mar2020,16,123,19,5,1,10,8
Albania,25mar2020,17,146,23,5,0,17,7
Albania,26mar2020,18,174,28,6,1,17,0
Albania,27mar2020,19,186,12,8,2,31,14
Albania,28mar2020,20,197,11,10,2,31,0
Albania,29mar2020,21,212,15,10,0,33,2
Albania,30mar2020,22,223,11,11,1,44,11
Albania,31mar2020,23,243,20,15,4,52,8
Albania,01apr2020,24,259,16,15,0,67,15
Albania,02apr2020,25,277,18,16,1,76,9
Albania,03apr2020,26,304,27,17,1,89,13
Albania,04apr2020,27,333,29,20,3,99,10
Albania,05apr2020,28,361,28,20,0,104,5
Albania,06apr2020,29,377,16,21,1,116,12
Albania,07apr2020,30,383,6,22,1,131,15
Albania,08apr2020,31,400,17,22,0,154,23
Albania,09apr2020,32,409,9,23,1,165,11
Albania,10apr2020,33,416,7,23,0,182,17
Albania,11apr2020,34,433,17,23,0,197,15
Albania,12apr2020,35,446,13,23,0,217,20
Albania,13apr2020,36,467,21,23,0,232,15
Algeria,25feb2020,1,1,,,,,
Algeria,26feb2020,2,1,0,,,,
Algeria,27feb2020,3,1,0,,,,
Algeria,28feb2020,4,1,0,,,,
Algeria,29feb2020,5,1,0,,,,
Algeria,01mar2020,6,1,0,,,,
Algeria,02mar2020,7,3,2,,,,
Algeria,03mar2020,8,5,2,,,,
Algeria,04mar2020,9,12,7,,,,
Algeria,05mar2020,10,12,0,,,,
Algeria,06mar2020,11,17,5,,,,
Algeria,07mar2020,12,17,0,,,,
Algeria,08mar2020,13,19,2,,,,
Algeria,09mar2020,14,20,1,,,,
Algeria,10mar2020,15,20,0,,,,
Algeria,11mar2020,16,20,0,,,,
Algeria,12mar2020,17,24,4,1,,8,
Algeria,13mar2020,18,26,2,2,1,8,0
Algeria,14mar2020,19,37,11,3,1,12,4
Algeria,15mar2020,20,48,11,4,1,12,0
Algeria,16mar2020,21,54,6,4,0,12,0
Algeria,17mar2020,22,60,6,4,0,12,0
Algeria,18mar2020,23,74,14,7,3,12,0
Algeria,19mar2020,24,87,13,9,2,32,20
Algeria,20mar2020,25,90,3,11,2,32,0
Algeria,21mar2020,26,139,49,15,4,32,0
Algeria,22mar2020,27,201,62,17,2,65,33
Algeria,23mar2020,28,230,29,17,0,65,0
Algeria,24mar2020,29,264,34,19,2,24,-41
Algeria,25mar2020,30,302,38,21,2,65,41
Algeria,26mar2020,31,367,65,25,4,29,-36
Algeria,27mar2020,32,409,42,26,1,29,0
Algeria,28mar2020,33,454,45,29,3,31,2
Algeria,29mar2020,34,511,57,31,2,31,0
Algeria,30mar2020,35,584,73,35,4,37,6
Algeria,31mar2020,36,716,132,44,9,46,9
Algeria,01apr2020,37,847,131,58,14,61,15
Algeria,02apr2020,38,986,139,86,28,61,0
Algeria,03apr2020,39,1171,185,105,19,62,1
Algeria,04apr2020,40,1251,80,130,25,90,28
Algeria,05apr2020,41,1320,69,152,22,90,0
Algeria,06apr2020,42,1423,103,173,21,90,0
Algeria,07apr2020,43,1468,45,193,20,113,23
Algeria,08apr2020,44,1572,104,205,12,237,124
Algeria,09apr2020,45,1666,94,235,30,347,110
Algeria,10apr2020,46,1761,95,256,21,405,58
Algeria,11apr2020,47,1825,64,275,19,460,55
Algeria,12apr2020,48,1914,89,293,18,591,131
Algeria,13apr2020,49,1983,69,313,20,601,10
Andorra,02mar2020,1,1,,,,,
Andorra,03mar2020,2,1,0,,,,
Andorra,04mar2020,3,1,0,,,,
Andorra,05mar2020,4,1,0,,,,
Andorra,06mar2020,5,1,0,,,,
Andorra,07mar2020,6,1,0,,,,
Andorra,08mar2020,7,1,0,,,,
Andorra,09mar2020,8,1,0,,,,
Andorra,10mar2020,9,1,0,,,,
Andorra,11mar2020,10,1,0,,,,
Andorra,12mar2020,11,1,0,,,1,
Andorra,13mar2020,12,1,0,,,,
Andorra,14mar2020,13,1,0,,,1,
Andorra,15mar2020,14,1,0,,,1,0
Andorra,16mar2020,15,2,1,,,1,0
Andorra,17mar2020,16,39,37,,,1,0
Andorra,18mar2020,17,39,0,,,1,0
Andorra,19mar2020,18,53,14,,,1,0
Andorra,20mar2020,19,75,22,,,1,0
Andorra,21mar2020,20,88,13,,,1,0
Andorra,22mar2020,21,113,25,1,,1,0
Andorra,23mar2020,22,133,20,1,0,1,0
Andorra,24mar2020,23,164,31,1,0,1,0
Andorra,25mar2020,24,188,24,1,0,1,0
Andorra,26mar2020,25,224,36,3,2,1,0
Andorra,27mar2020,26,267,43,3,0,1,0
Andorra,28mar2020,27,308,41,3,0,1,0
Andorra,29mar2020,28,334,26,6,3,1,0
Andorra,30mar2020,29,370,36,8,2,10,9
Andorra,31mar2020,30,376,6,12,4,10,0
Andorra,01apr2020,31,390,14,14,2,10,0
Andorra,02apr2020,32,428,38,15,1,10,0
Andorra,03apr2020,33,439,11,16,1,16,6
Andorra,04apr2020,34,466,27,17,1,21,5
Andorra,05apr2020,35,501,35,18,1,26,5
Andorra,06apr2020,36,525,24,21,3,31,5
Andorra,07apr2020,37,545,20,22,1,39,8
Andorra,08apr2020,38,564,19,23,1,52,13
Andorra,09apr2020,39,583,19,25,2,58,6
Andorra,10apr2020,40,601,18,26,1,71,13
Andorra,11apr2020,41,601,0,26,0,71,0
Andorra,12apr2020,42,638,37,29,3,128,57
Andorra,13apr2020,43,646,8,29,0,128,0
Angola,20mar2020,1,1,,,,,
Angola,21mar2020,2,2,1,,,,
Angola,22mar2020,3,2,0,,,,
Angola,23mar2020,4,3,1,,,,
Angola,24mar2020,5,3,0,,,,
Angola,25mar2020,6,3,0,,,,
Angola,26mar2020,7,4,1,,,,
Angola,27mar2020,8,4,0,,,,
Angola,28mar2020,9,5,1,,,,
Angola,29mar2020,10,7,2,2,,,
Angola,30mar2020,11,7,0,2,0,,
Angola,31mar2020,12,7,0,2,0,1,
Angola,01apr2020,13,8,1,2,0,1,0
Angola,02apr2020,14,8,0,2,0,1,0
Angola,03apr2020,15,8,0,2,0,1,0
Angola,04apr2020,16,10,2,2,0,2,1
Angola,05apr2020,17,14,4,2,0,2,0
Angola,06apr2020,18,16,2,2,0,2,0
Angola,07apr2020,19,17,1,2,0,2,0
Angola,08apr2020,20,19,2,2,0,2,0
Angola,09apr2020,21,19,0,2,0,2,0
Angola,10apr2020,22,19,0,2,0,2,0
Angola,11apr2020,23,19,0,2,0,4,2
Angola,12apr2020,24,19,0,2,0,4,0
Angola,13apr2020,25,19,0,2,0,4,0
Antigua and Barbuda,13mar2020,1,1,,,,,
Antigua and Barbuda,14mar2020,2,1,0,,,,
Antigua and Barbuda,15mar2020,3,1,0,,,,
Antigua and Barbuda,16mar2020,4,1,0,,,,
Antigua and Barbuda,17mar2020,5,1,0,,,,
Antigua and Barbuda,18mar2020,6,1,0,,,,
Antigua and Barbuda,19mar2020,7,1,0,,,,
Antigua and Barbuda,20mar2020,8,1,0,,,,
Antigua and Barbuda,21mar2020,9,1,0,,,,
Antigua and Barbuda,22mar2020,10,1,0,,,,
Antigua and Barbuda,23mar2020,11,3,2,,,,
Antigua and Barbuda,24mar2020,12,3,0,,,,
Antigua and Barbuda,25mar2020,13,3,0,,,,
Antigua and Barbuda,26mar2020,14,7,4,,,,
Antigua and Barbuda,27mar2020,15,7,0,,,,
Antigua and Barbuda,28mar2020,16,7,0,,,,
Antigua and Barbuda,29mar2020,17,7,0,,,,
Antigua and Barbuda,30mar2020,18,7,0,,,,
Antigua and Barbuda,31mar2020,19,7,0,,,,
Antigua and Barbuda,01apr2020,20,7,0,,,,
Antigua and Barbuda,02apr2020,21,9,2,,,,
Antigua and Barbuda,03apr2020,22,15,6,,,,
Antigua and Barbuda,04apr2020,23,15,0,,,,
Antigua and Barbuda,05apr2020,24,15,0,,,,
Antigua and Barbuda,06apr2020,25,15,0,,,,
Antigua and Barbuda,07apr2020,26,19,4,1,,,
Antigua and Barbuda,08apr2020,27,19,0,2,1,,
Antigua and Barbuda,09apr2020,28,19,0,2,0,,
Antigua and Barbuda,10apr2020,29,19,0,2,0,,
Antigua and Barbuda,11apr2020,30,21,2,2,0,,
Antigua and Barbuda,12apr2020,31,21,0,2,0,,
Antigua and Barbuda,13apr2020,32,23,2,2,0,,
Argentina,03mar2020,1,1,,,,,
Argentina,04mar2020,2,1,0,,,,
Argentina,05mar2020,3,1,0,,,,
Argentina,06mar2020,4,2,1,,,,
Argentina,07mar2020,5,8,6,,,,
Argentina,08mar2020,6,12,4,1,,,
Argentina,09mar2020,7,12,0,1,0,,
Argentina,10mar2020,8,17,5,1,0,,
Argentina,11mar2020,9,19,2,1,0,,
Argentina,12mar2020,10,19,0,1,0,,
Argentina,13mar2020,11,31,12,2,1,,
Argentina,14mar2020,12,34,3,2,0,1,
Argentina,15mar2020,13,45,11,2,0,1,0
Argentina,16mar2020,14,56,11,2,0,1,0
Argentina,17mar2020,15,68,12,2,0,3,2
Argentina,18mar2020,16,79,11,2,0,3,0
Argentina,19mar2020,17,97,18,3,1,3,0
Argentina,20mar2020,18,128,31,3,0,3,0
Argentina,21mar2020,19,158,30,4,1,3,0
Argentina,22mar2020,20,266,108,4,0,3,0
Argentina,23mar2020,21,301,35,4,0,3,0
Argentina,24mar2020,22,387,86,6,2,52,49
Argentina,25mar2020,23,387,0,8,2,52,0
Argentina,26mar2020,24,502,115,9,1,63,11
Argentina,27mar2020,25,589,87,13,4,72,9
Argentina,28mar2020,26,690,101,18,5,72,0
Argentina,29mar2020,27,745,55,19,1,72,0
Argentina,30mar2020,28,820,75,23,4,228,156
Argentina,31mar2020,29,1054,234,27,4,240,12
Argentina,01apr2020,30,1054,0,28,1,248,8
Argentina,02apr2020,31,1133,79,36,8,256,8
Argentina,03apr2020,32,1265,132,39,3,266,10
Argentina,04apr2020,33,1451,186,43,4,279,13
Argentina,05apr2020,34,1451,0,44,1,280,1
Argentina,06apr2020,35,1554,103,48,4,325,45
Argentina,07apr2020,36,1628,74,56,8,338,13
Argentina,08apr2020,37,1715,87,63,7,358,20
Argentina,09apr2020,38,1795,80,72,9,365,7
Argentina,10apr2020,39,1975,180,82,10,375,10
Argentina,11apr2020,40,1975,0,83,1,440,65
Argentina,12apr2020,41,2142,167,90,7,468,28
Argentina,13apr2020,42,2208,66,97,7,515,47
Armenia,01mar2020,1,1,,,,,
Armenia,02mar2020,2,1,0,,,,
Armenia,03mar2020,3,1,0,,,,
Armenia,04mar2020,4,1,0,,,,
Armenia,05mar2020,5,1,0,,,,
Armenia,06mar2020,6,1,0,,,,
Armenia,07mar2020,7,1,0,,,,
Armenia,08mar2020,8,1,0,,,,
Armenia,09mar2020,9,1,0,,,,
Armenia,10mar2020,10,1,0,,,,
Armenia,11mar2020,11,1,0,,,,
Armenia,12mar2020,12,4,3,,,,
Armenia,13mar2020,13,8,4,,,,
Armenia,14mar2020,14,18,10,,,,
Armenia,15mar2020,15,26,8,,,,
Armenia,16mar2020,16,52,26,,,,
Armenia,17mar2020,17,78,26,,,1,
Armenia,18mar2020,18,84,6,,,1,0
Armenia,19mar2020,19,115,31,,,1,0
Armenia,20mar2020,20,136,21,,,1,0
Armenia,21mar2020,21,160,24,,,1,0
Armenia,22mar2020,22,194,34,,,2,1
Armenia,23mar2020,23,235,41,,,2,0
Armenia,24mar2020,24,249,14,,,14,12
Armenia,25mar2020,25,265,16,,,16,2
Armenia,26mar2020,26,290,25,1,,18,2
Armenia,27mar2020,27,329,39,1,0,28,10
Armenia,28mar2020,28,407,78,1,0,30,2
Armenia,29mar2020,29,424,17,3,2,30,0
Armenia,30mar2020,30,482,58,3,0,30,0
Armenia,31mar2020,31,532,50,3,0,30,0
Armenia,01apr2020,32,571,39,4,1,31,1
Armenia,02apr2020,33,663,92,7,3,33,2
Armenia,03apr2020,34,736,73,7,0,43,10
Armenia,04apr2020,35,770,34,7,0,43,0
Armenia,05apr2020,36,822,52,7,0,57,14
Armenia,06apr2020,37,833,11,8,1,62,5
Armenia,07apr2020,38,853,20,8,0,87,25
Armenia,08apr2020,39,881,28,9,1,114,27
Armenia,09apr2020,40,921,40,10,1,138,24
Armenia,10apr2020,41,937,16,12,2,149,11
Armenia,11apr2020,42,967,30,13,1,173,24
Armenia,12apr2020,43,1013,46,13,0,197,24
Armenia,13apr2020,44,1039,26,14,1,211,14
Australia,26jan2020,1,4,,,,,
Australia,27jan2020,2,5,1,,,,
Australia,28jan2020,3,5,0,,,,
Australia,29jan2020,4,6,1,,,,
Australia,30jan2020,5,9,3,,,2,
Australia,31jan2020,6,9,0,,,2,0
Australia,01feb2020,7,12,3,,,2,0
Australia,02feb2020,8,12,0,,,2,0
Australia,03feb2020,9,12,0,,,2,0
Australia,04feb2020,10,13,1,,,2,0
Australia,05feb2020,11,13,0,,,2,0
Australia,06feb2020,12,14,1,,,2,0
Australia,07feb2020,13,15,1,,,2,0
Australia,08feb2020,14,15,0,,,2,0
Australia,09feb2020,15,15,0,,,2,0
Australia,10feb2020,16,15,0,,,2,0
Australia,11feb2020,17,15,0,,,2,0
Australia,12feb2020,18,15,0,,,2,0
Australia,13feb2020,19,15,0,,,8,6
Australia,14feb2020,20,15,0,,,8,0
Australia,15feb2020,21,15,0,,,8,0
Australia,16feb2020,22,15,0,,,8,0
Australia,17feb2020,23,15,0,,,10,2
Australia,18feb2020,24,15,0,,,10,0
Australia,19feb2020,25,15,0,,,10,0
Australia,20feb2020,26,15,0,,,10,0
Australia,21feb2020,27,15,0,,,11,1
Australia,22feb2020,28,15,0,,,11,0
Australia,23feb2020,29,15,0,,,11,0
Australia,24feb2020,30,15,0,,,11,0
Australia,25feb2020,31,15,0,,,11,0
Australia,26feb2020,32,15,0,,,11,0
Australia,27feb2020,33,15,0,,,11,0
Australia,28feb2020,34,15,0,,,11,0
Australia,29feb2020,35,25,10,,,11,0
Australia,01mar2020,36,27,2,1,,11,0
Australia,02mar2020,37,30,3,1,0,11,0
Australia,03mar2020,38,39,9,1,0,11,0
Australia,04mar2020,39,52,13,2,1,11,0
Australia,05mar2020,40,55,3,2,0,21,10
Australia,06mar2020,41,60,5,2,0,21,0
Australia,07mar2020,42,63,3,2,0,21,0
Australia,08mar2020,43,76,13,3,1,21,0
Australia,09mar2020,44,91,15,3,0,21,0
Australia,10mar2020,45,107,16,3,0,21,0
Australia,11mar2020,46,128,21,3,0,21,0
Australia,12mar2020,47,128,0,3,0,21,0
Australia,13mar2020,48,200,72,3,0,23,2
Australia,14mar2020,49,250,50,3,0,23,0
Australia,15mar2020,50,297,47,3,0,23,0
Australia,16mar2020,51,377,80,3,0,23,0
Australia,17mar2020,52,452,75,5,2,23,0
Australia,18mar2020,53,568,116,6,1,23,0
Australia,19mar2020,54,681,113,6,0,26,3
Australia,20mar2020,55,791,110,7,1,26,0
Australia,21mar2020,56,1071,280,7,0,26,0
Australia,22mar2020,57,1549,478,7,0,88,62
Australia,23mar2020,58,1682,133,7,0,88,0
Australia,24mar2020,59,2044,362,8,1,115,27
Australia,25mar2020,60,2364,320,8,0,119,4
Australia,26mar2020,61,2810,446,13,5,172,53
Australia,27mar2020,62,3143,333,13,0,194,22
Australia,28mar2020,63,3640,497,14,1,244,50
Australia,29mar2020,64,3984,344,16,2,244,0
Australia,30mar2020,65,4361,377,17,1,257,13
Australia,31mar2020,66,4559,198,18,1,358,101
Australia,01apr2020,67,4862,303,20,2,422,64
Australia,02apr2020,68,5116,254,24,4,520,98
Australia,03apr2020,69,5330,214,28,4,649,129
Australia,04apr2020,70,5550,220,30,2,701,52
Australia,05apr2020,71,5687,137,35,5,757,56
Australia,06apr2020,72,5797,110,40,5,1080,323
Australia,07apr2020,73,5895,98,45,5,1080,0
Australia,08apr2020,74,6010,115,50,5,1080,0
Australia,09apr2020,75,6108,98,51,1,1472,392
Australia,10apr2020,76,6215,107,54,3,1793,321
Australia,11apr2020,77,6303,88,57,3,1806,13
Australia,12apr2020,78,6315,12,60,3,1806,0
Australia,13apr2020,79,6351,36,61,1,1806,0
Austria,25feb2020,1,2,,,,,
Austria,26feb2020,2,2,0,,,,
Austria,27feb2020,3,3,1,,,,
Austria,28feb2020,4,3,0,,,,
Austria,29feb2020,5,9,6,,,,
Austria,01mar2020,6,14,5,,,,
Austria,02mar2020,7,18,4,,,,
Austria,03mar2020,8,21,3,,,,
Austria,04mar2020,9,29,8,,,,
Austria,05mar2020,10,41,12,,,,
Austria,06mar2020,11,55,14,,,,
Austria,07mar2020,12,79,24,,,,
Austria,08mar2020,13,104,25,,,,
Austria,09mar2020,14,131,27,,,2,
Austria,10mar2020,15,182,51,,,4,2
Austria,11mar2020,16,246,64,,,4,0
Austria,12mar2020,17,302,56,1,,4,0
Austria,13mar2020,18,504,202,1,0,6,2
Austria,14mar2020,19,655,151,1,0,6,0
Austria,15mar2020,20,860,205,1,0,6,0
Austria,16mar2020,21,1018,158,3,2,6,0
Austria,17mar2020,22,1332,314,3,0,1,-5
Austria,18mar2020,23,1646,314,4,1,9,8
Austria,19mar2020,24,2013,367,6,2,9,0
Austria,20mar2020,25,2388,375,6,0,9,0
Austria,21mar2020,26,2814,426,8,2,9,0
Austria,22mar2020,27,3582,768,16,8,9,0
Austria,23mar2020,28,4474,892,21,5,9,0
Austria,24mar2020,29,5283,809,28,7,9,0
Austria,25mar2020,30,5588,305,30,2,9,0
Austria,26mar2020,31,6909,1321,49,19,112,103
Austria,27mar2020,32,7657,748,58,9,225,113
Austria,28mar2020,33,8271,614,68,10,225,0
Austria,29mar2020,34,8788,517,86,18,479,254
Austria,30mar2020,35,9618,830,108,22,636,157
Austria,31mar2020,36,10180,562,128,20,1095,459
Austria,01apr2020,37,10711,531,146,18,1436,341
Austria,02apr2020,38,11129,418,158,12,1749,313
Austria,03apr2020,39,11524,395,168,10,2022,273
Austria,04apr2020,40,11781,257,186,18,2507,485
Austria,05apr2020,41,12051,270,204,18,2998,491
Austria,06apr2020,42,12297,246,220,16,3463,465
Austria,07apr2020,43,12639,342,243,23,4046,583
Austria,08apr2020,44,12942,303,273,30,4512,466
Austria,09apr2020,45,13244,302,295,22,5240,728
Austria,10apr2020,46,13555,311,319,24,6064,824
Austria,11apr2020,47,13806,251,337,18,6604,540
Austria,12apr2020,48,13945,139,350,13,6987,383
Austria,13apr2020,49,14041,96,368,18,7343,356
Azerbaijan,01mar2020,1,3,,,,,
Azerbaijan,02mar2020,2,3,0,,,,
Azerbaijan,03mar2020,3,3,0,,,,
Azerbaijan,04mar2020,4,3,0,,,,
Azerbaijan,05mar2020,5,6,3,,,,
Azerbaijan,06mar2020,6,6,0,,,,
Azerbaijan,07mar2020,7,9,3,,,,
Azerbaijan,08mar2020,8,9,0,,,,
Azerbaijan,09mar2020,9,9,0,,,,
Azerbaijan,10mar2020,10,11,2,,,,
Azerbaijan,11mar2020,11,11,0,,,3,
Azerbaijan,12mar2020,12,11,0,,,3,0
Azerbaijan,13mar2020,13,15,4,1,,3,0
Azerbaijan,14mar2020,14,15,0,1,0,3,0
Azerbaijan,15mar2020,15,23,8,1,0,6,3
Azerbaijan,16mar2020,16,28,5,1,0,6,0
Azerbaijan,17mar2020,17,28,0,1,0,6,0
Azerbaijan,18mar2020,18,28,0,1,0,6,0
Azerbaijan,19mar2020,19,44,16,1,0,6,0
Azerbaijan,20mar2020,20,44,0,1,0,6,0
Azerbaijan,21mar2020,21,53,9,1,0,11,5
Azerbaijan,22mar2020,22,65,12,1,0,10,-1
Azerbaijan,23mar2020,23,72,7,1,0,10,0
Azerbaijan,24mar2020,24,87,15,1,0,10,0
Azerbaijan,25mar2020,25,93,6,2,1,10,0
Azerbaijan,26mar2020,26,122,29,3,1,15,5
Azerbaijan,27mar2020,27,165,43,3,0,15,0
Azerbaijan,28mar2020,28,182,17,4,1,15,0
Azerbaijan,29mar2020,29,209,27,4,0,15,0
Azerbaijan,30mar2020,30,273,64,4,0,26,11
Azerbaijan,31mar2020,31,298,25,5,1,26,0
Azerbaijan,01apr2020,32,359,61,5,0,26,0
Azerbaijan,02apr2020,33,400,41,5,0,26,0
Azerbaijan,03apr2020,34,443,43,5,0,32,6
Azerbaijan,04apr2020,35,521,78,5,0,32,0
Azerbaijan,05apr2020,36,584,63,7,2,32,0
Azerbaijan,06apr2020,37,641,57,7,0,44,12
Azerbaijan,07apr2020,38,717,76,8,1,44,0
Azerbaijan,08apr2020,39,822,105,8,0,63,19
Azerbaijan,09apr2020,40,926,104,9,1,101,38
Azerbaijan,10apr2020,41,991,65,10,1,159,58
Azerbaijan,11apr2020,42,1058,67,11,1,200,41
Azerbaijan,12apr2020,43,1098,40,11,0,250,50
Azerbaijan,13apr2020,44,1148,50,12,1,289,39
Bahamas,16mar2020,1,1,,,,,
Bahamas,17mar2020,2,1,0,,,,
Bahamas,18mar2020,3,1,0,,,,
Bahamas,19mar2020,4,3,2,,,,
Bahamas,20mar2020,5,3,0,,,,
Bahamas,21mar2020,6,4,1,,,,
Bahamas,22mar2020,7,4,0,,,,
Bahamas,23mar2020,8,4,0,,,,
Bahamas,24mar2020,9,5,1,,,1,
Bahamas,25mar2020,10,5,0,,,1,0
Bahamas,26mar2020,11,9,4,,,1,0
Bahamas,27mar2020,12,10,1,,,1,0
Bahamas,28mar2020,13,10,0,,,1,0
Bahamas,29mar2020,14,11,1,,,1,0
Bahamas,30mar2020,15,14,3,,,1,0
Bahamas,31mar2020,16,14,0,,,1,0
Bahamas,01apr2020,17,21,7,1,,1,0
Bahamas,02apr2020,18,24,3,1,0,1,0
Bahamas,03apr2020,19,24,0,1,0,1,0
Bahamas,04apr2020,20,28,4,4,3,,
Bahamas,05apr2020,21,28,0,4,0,,
Bahamas,06apr2020,22,29,1,5,1,4,
Bahamas,07apr2020,23,33,4,6,1,5,1
Bahamas,08apr2020,24,40,7,7,1,5,0
Bahamas,09apr2020,25,41,1,8,1,5,0
Bahamas,10apr2020,26,42,1,8,0,5,0
Bahamas,11apr2020,27,46,4,8,0,5,0
Bahamas,12apr2020,28,46,0,8,0,5,0
Bahamas,13apr2020,29,47,1,8,0,6,1
Bahrain,24feb2020,1,1,,,,,
Bahrain,25feb2020,2,23,22,,,,
Bahrain,26feb2020,3,33,10,,,,
Bahrain,27feb2020,4,33,0,,,,
Bahrain,28feb2020,5,36,3,,,,
Bahrain,29feb2020,6,41,5,,,,
Bahrain,01mar2020,7,47,6,,,,
Bahrain,02mar2020,8,49,2,,,,
Bahrain,03mar2020,9,49,0,,,,
Bahrain,04mar2020,10,52,3,,,,
Bahrain,05mar2020,11,55,3,,,,
Bahrain,06mar2020,12,60,5,,,4,
Bahrain,07mar2020,13,85,25,,,4,0
Bahrain,08mar2020,14,85,0,,,4,0
Bahrain,09mar2020,15,95,10,,,14,10
Bahrain,10mar2020,16,110,15,,,22,8
Bahrain,11mar2020,17,195,85,,,35,13
Bahrain,12mar2020,18,195,0,,,35,0
Bahrain,13mar2020,19,195,0,,,44,9
Bahrain,14mar2020,20,210,15,,,44,0
Bahrain,15mar2020,21,214,4,,,60,16
Bahrain,16mar2020,22,214,0,1,,77,17
Bahrain,17mar2020,23,228,14,1,0,81,4
Bahrain,18mar2020,24,256,28,1,0,88,7
Bahrain,19mar2020,25,278,22,1,0,100,12
Bahrain,20mar2020,26,285,7,1,0,100,0
Bahrain,21mar2020,27,305,20,1,0,125,25
Bahrain,22mar2020,28,334,29,2,1,149,24
Bahrain,23mar2020,29,377,43,2,0,149,0
Bahrain,24mar2020,30,392,15,3,1,177,28
Bahrain,25mar2020,31,419,27,4,1,177,0
Bahrain,26mar2020,32,458,39,4,0,204,27
Bahrain,27mar2020,33,466,8,4,0,227,23
Bahrain,28mar2020,34,476,10,4,0,265,38
Bahrain,29mar2020,35,499,23,4,0,272,7
Bahrain,30mar2020,36,515,16,4,0,279,7
Bahrain,31mar2020,37,567,52,4,0,295,16
Bahrain,01apr2020,38,569,2,4,0,337,42
Bahrain,02apr2020,39,643,74,4,0,381,44
Bahrain,03apr2020,40,672,29,4,0,382,1
Bahrain,04apr2020,41,688,16,4,0,423,41
Bahrain,05apr2020,42,700,12,4,0,431,8
Bahrain,06apr2020,43,756,56,4,0,458,27
Bahrain,07apr2020,44,811,55,5,1,458,0
Bahrain,08apr2020,45,823,12,5,0,477,19
Bahrain,09apr2020,46,887,64,5,0,519,42
Bahrain,10apr2020,47,925,38,6,1,539,20
Bahrain,11apr2020,48,1040,115,6,0,555,16
Bahrain,12apr2020,49,1136,96,6,0,558,3
Bahrain,13apr2020,50,1361,225,6,0,591,33
Bangladesh,08mar2020,1,3,,,,,
Bangladesh,09mar2020,2,3,0,,,,
Bangladesh,10mar2020,3,3,0,,,,
